nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,14.0,0.0,0
381.0,374.0,0.0,14.0,0.0,0.0,1.0,131.0,3.0,0.2879,0.0,1.0,0.0,19.0,7.0,5.0,0.0,0.0,15.0,144.0,0.0,1,0.7142857142857143,0.0,2.9083969465648853,0.0,0
10.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,27.5556,2.0,1.0,22.0,62.0,59.0,41.0,15.0,1.0,6.0,57.0,0.0,0,0.6949152542372882,0.0,1.25,0.0,0
42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,42.0,0.0,1
38.0,7.0,0.0,0.0,0.0,0.0,2.0,31.0,2.0,3.0313,1.0,1.0,1.0,78.0,58.0,54.0,3.0,0.0,1.0,62.0,0.0,0,0.9310344827586207,0.0,1.2258064516129032,0.0,0
23.0,8.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,5.9375,1.0,2.0,1.0,44.0,59.0,50.0,5.0,1.0,3.0,60.0,0.0,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
38.0,7.0,0.0,0.0,0.0,0.0,2.0,31.0,2.0,3.0313,1.0,1.0,1.0,78.0,58.0,54.0,3.0,0.0,1.0,62.0,0.0,0,0.9310344827586207,0.0,1.2258064516129032,0.0,0
11.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,13.2222,0.0,1.0,0.0,55.0,60.0,47.0,9.0,1.0,4.0,59.0,0.0,0,0.7833333333333333,0.0,1.375,0.0,0
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
20.0,3.0,0.0,0.0,0.0,0.0,2.0,17.0,9.0,10.5556,2.0,1.0,9.0,55.0,60.0,47.0,9.0,1.0,6.0,57.0,0.0,0,0.7833333333333333,0.0,1.1764705882352942,0.0,0
10.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,27.5556,2.0,1.0,22.0,62.0,59.0,41.0,15.0,1.0,6.0,57.0,0.0,0,0.6949152542372882,0.0,1.25,0.0,0
12.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,4.6154,0.0,1.0,0.0,42.0,52.0,1.0,0.0,0.0,1.0,62.0,0.0,0,0.019230769230769232,0.0,1.0,0.0,0
35.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,48.0,0.0,1.0,0.0,35.0,61.0,52.0,5.0,1.0,1.0,62.0,0.0,1,0.8524590163934426,0.0,35.0,0.0,0
220.0,12.0,0.0,12.0,0.0,0.0,0.0,208.0,3.0,0.1866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0,0.0,0.0,1.0576923076923077,0.0,0
381.0,269.0,5.0,14.0,3.0,2.0,26.0,283.0,55.0,7.2289,8.0,32.0,25.0,951.0,345.0,276.0,8.0,0.0,34.0,125.0,0.0,0,0.8,0.05454545454545454,1.3462897526501767,0.0,1
42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,13.0,1.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0
46.0,34.0,0.0,0.0,0.0,0.0,2.0,12.0,4.0,6.6923,1.0,3.0,1.0,49.0,61.0,52.0,6.0,0.0,1.0,62.0,0.0,1,0.8524590163934426,0.0,3.8333333333333335,0.0,0
360.0,265.0,0.0,1.0,3.0,0.0,6.0,342.0,48.0,11.9213,9.0,16.0,27.0,150.0,18.0,6.0,0.0,0.0,1.0,48.0,0.0,0,0.3333333333333333,0.0625,1.0526315789473684,0.0,1
12.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.25,0.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.7142857142857142,0.0,0
