,ds_cidade_usuario,ts_primeiro_acesso,ts_ultimo_acesso,nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos
361,Campinas,1693227920,1693228016,14,14,0,0,0,0,0,,,,0.0,1,4.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
73,Holambra,1661542019,1662149939,381,374,0,14,0,0,1,170.0,,,131.0,3,0.2879,,,3,0,1,0,19,7,5,0,0,0.133333333,0.3061,0.1633,15,144,0.133333333,0,,
374,Campinas,1693578285,1694298462,10,2,0,0,0,0,3,1528.6667,1528.6667,,8.0,6,27.5556,,,6,2,1,22,62,59,41,15,1,0.986014,0.8571,0.5714,6,57,0.9848485,0,,
155,Campinas,1690827091,1690827413,42,42,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
104,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
394,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
377,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
124,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
68,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
450,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
9,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
194,Campinas,1691157633,1693837707,38,7,0,0,0,0,2,2244.0,2244.0,,31.0,2,3.0313,,,2,1,1,1,78,58,54,3,0,1.0,,,1,62,1.0,0,,
406,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
84,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
371,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
388,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
495,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
30,Campinas,1692463467,1693754964,23,8,0,0,0,0,2,798.5,798.5,,15.0,2,5.9375,,,2,1,2,1,44,59,50,5,1,0.964285714,,,3,60,0.958333333,0,,
316,Campinas,1691157633,1693837707,38,7,0,0,0,0,2,2244.0,2244.0,,31.0,2,3.0313,,,2,1,1,1,78,58,54,3,0,1.0,,,1,62,1.0,0,,
408,Campinas,1693504104,1694225099,11,3,0,0,0,0,2,1331.0,1331.0,,8.0,4,13.2222,,,4,0,1,0,55,60,47,9,1,1.0,1.0,0.75,4,59,1.0,0,,
490,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
491,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
280,,1693441326,1693441609,12,12,0,0,0,0,0,,,,0.0,1,7.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
356,Campinas,1692714277,1694181750,20,3,0,0,0,0,2,2713.5,2713.5,,17.0,9,10.5556,,,9,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,,
76,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
461,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
497,Campinas,1693578285,1694298462,10,2,0,0,0,0,3,1528.6667,1528.6667,,8.0,6,27.5556,,,6,2,1,22,62,59,41,15,1,0.986014,0.8571,0.5714,6,57,0.9848485,0,,
211,,1693432203,1694470430,12,0,0,0,0,0,1,235.0,235.0,,12.0,3,4.6154,,,3,0,1,0,42,52,1,0,0,1.0,,,1,62,1.0,0,,
101,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
334,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
475,Campinas,1691438365,1691440004,35,35,0,0,0,0,2,776.5,776.5,,0.0,1,48.0,,,1,0,1,0,35,61,52,5,1,1.0,,,1,62,1.0,0,,
336,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
440,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
173,Blumenau ,1675436449,1693433737,220,12,0,12,0,0,0,,,,208.0,3,0.1866,,,3,0,0,0,0,0,0,0,0,,,,0,90,,0,,
2,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
333,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
409,Holambra,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,,
70,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
209,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
63,,1690808687,1694466059,42,0,0,0,0,0,0,,,,42.0,13,1.907,30.2326,6.3077,13,0,0,0,0,0,0,0,0,,,,0,0,,0,,
384,Campinas,0,0,19612,19612,0,0,0,0,0,,,,0.0,1,1.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
