nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
20.0,6.0,0.0,4.0,0.0,0.0,1.0,14.0,3.0,4.7333,1.0,2.0,1.0,34.0,44.0,1.0,0.0,0.0,1.0,62.0,0.0,0,0.022727272727272728,0.0,1.4285714285714286,0.0,0
56.0,6.0,0.0,0.0,0.0,0.0,4.0,50.0,26.0,21.4706,6.0,10.0,28.0,179.0,62.0,51.0,8.0,1.0,21.0,42.0,47.0,0,0.8225806451612904,0.0,1.12,1.8076923076923077,0
19.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.5,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,19.0,0.0,0
13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,0.0,0
15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,15.0,0.0,0
41.0,16.0,0.0,0.0,0.0,0.0,2.0,25.0,8.0,9.8846,3.0,5.0,10.0,123.0,60.0,46.0,10.0,1.0,11.0,52.0,0.0,0,0.7666666666666667,0.0,1.64,0.0,0
11.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,13.7778,1.0,2.0,2.0,64.0,58.0,45.0,9.0,1.0,2.0,61.0,0.0,0,0.7758620689655172,0.0,1.375,0.0,0
19.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,28.0,0.0,2.0,0.0,31.0,39.0,1.0,0.0,0.0,1.0,62.0,0.0,0,0.02564102564102564,0.0,19.0,0.0,0
20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,20.0,0.0,0
34.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,36.0,0.0,1.0,0.0,24.0,44.0,1.0,0.0,0.0,1.0,62.0,0.0,1,0.022727272727272728,0.0,34.0,0.0,0
