nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,abandono
14,14,0,0,0,0,0,0.0,0.0,0.0,1,4.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
381,374,0,14,0,0,1,170.0,0.0,131.0,3,0.2879,3,0,1,0,19,7,5,0,0,0.133333333,15,144,0.133333333,0,1
42,42,0,0,0,0,0,0.0,0.0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
23,8,0,0,0,0,2,798.5,798.5,15.0,2,5.9375,2,1,2,1,44,59,50,5,1,0.964285714,3,60,0.958333333,0,0
38,7,0,0,0,0,2,2244.0,2244.0,31.0,2,3.0313,2,1,1,1,78,58,54,3,0,1.0,1,62,1.0,0,0
12,12,0,0,0,0,0,0.0,0.0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
20,3,0,0,0,0,2,2713.5,2713.5,17.0,9,10.5556,9,2,1,9,55,60,47,9,1,1.0,6,57,1.0,0,0
10,2,0,0,0,0,3,1528.6667,1528.6667,8.0,6,27.5556,6,2,1,22,62,59,41,15,1,0.986014,6,57,0.9848485,0,0
12,0,0,0,0,0,1,235.0,235.0,12.0,3,4.6154,3,0,1,0,42,52,1,0,0,1.0,1,62,1.0,0,0
35,35,0,0,0,0,2,776.5,776.5,0.0,1,48.0,1,0,1,0,35,61,52,5,1,1.0,1,62,1.0,0,0
220,12,0,12,0,0,0,0.0,0.0,208.0,3,0.1866,3,0,0,0,0,0,0,0,0,0.0,0,90,0.0,0,0
381,269,5,14,3,2,26,40820.1923,131692.375,283.0,55,7.2289,55,8,32,25,951,345,276,8,0,0.532771454,34,125,0.588759814,0,0
46,34,0,0,0,0,2,340825.0,340825.0,12.0,4,6.6923,4,1,3,1,49,61,52,6,0,1.0,1,62,1.0,0,0
360,265,0,1,3,0,6,72.0,0.0,342.0,48,11.9213,48,9,16,27,150,18,6,0,0,0.0,1,48,0.0,0,0
